bucket,density,trial,start1,start2,start3,start,end1,end2,end3,end,mass,rate,removal,ln(removed),settlement,difference,expected,rate1
1.1,1,second,180.4,190.1,,185.25,141.6,158,151,150.2,0.1229951,852.629596,35.05,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
1.2,1,second,213.1,194.3,,203.7,145.6,150.2,,147.9,0.1196532,1337.66566,55.8,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
1.3,1,second,168.8,170.2,,169.5,159.6,158.3,,158.95,0.10361208,310.1146095,10.55,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2.1,2,second,145.8,112.7,,129.25,104.3,111.4,,107.85,0.21390796,423.0958506,21.4,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2.2,2,second,127,139.6,,133.3,99.39,108.5,,103.945,0.24866372,500.1540114,29.355,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2.3,2,second,151,169,,160,88.61,73,,80.805,0.2259388,1511.769936,79.195,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2.4,2,second,135.4,136.3,,135.85,111.9,108.1,,110,0.21992338,479.8738772,25.85,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4.1,4,second,189.8,168.6,,179.2,138.5,138.2,,138.35,0.50735314,254.9661901,40.85,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4.2,4,second,151.2,173.9,,162.55,137.6,130.5,,134.05,0.47727604,201.9510366,28.5,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4.3,4,second,151.8,184.3,,168.05,148.9,133.5,150.7,144.3666667,0.42246888,179.7827033,23.68333333,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4.4,4,second,169,170.8,,169.9,167.8,149.1,,158.45,0.43583648,80.04256842,11.45,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8.1,8,second,243.7,248.4,,246.05,194.6,194.2,,194.4,0.92180146,127.8023986,51.65,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8.2,8,second,206,213,,209.5,176.3,178.7,,177.5,0.94318962,87.86840256,32,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8.3,8,second,194.3,183.4,,188.85,137.9,146.4,,142.15,0.88838246,159.8805829,46.7,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
8.4,8,second,222.7,203.2,,212.95,164.8,169.8,,167.3,0.89640302,134.5760685,45.65,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16.1,16,second,275.4,268.8,,272.1,279.7,232.5,269.1,260.4333333,1.82956694,11.97625911,11.66666667,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16.2,16,second,220.7,219,,219.85,127,127,,127,1.82154638,150.6298207,92.85,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16.3,16,second,262.2,265.8,,264,244.9,233.4,,239.15,1.87635354,26.343152,24.85,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
16.4,16,second,158.2,152.5,,155.35,81.2,74.08,,77.64,1.84828158,187.6331737,77.71,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32.1,32,second,111.2,101.7,,106.45,58.33,61.26,,59.795,3.68052204,78.35211142,46.655,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32.2,32,second,219.1,230.8,,224.95,189.4,187.2,,188.3,3.7687482,23.59426926,36.65,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32.3,32,second,212.9,215.1,,214,180.2,186.8,,183.5,3.574918,21.50557685,30.5,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
32.4,32,second,86.79,81.75,,84.27,54.67,47.72,,51.195,3.60967376,69.03450172,33.075,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
64.1,64,second,176.9,166.2,,171.55,72.18,79.49,,75.835,7.4439232,54.83095539,95.715,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
64.2,64,second,90.57,74.78,103.5,89.61666667,60.96,69.39,,65.175,7.15785656,22.24586034,24.44166667,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
64.4,64,second,104.4,124.3,122.8,117.1666667,75.86,83.83,,79.845,6.94798524,27.59866019,37.32166667,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
control1,control,,191.8,211.3,,201.55,138.6,124.3,117,126.6333333,,,,,,,,
control2,control,,202.2,200.9,,201.55,157.7,169.9,140.7,156.1,,,,,,,,
