ID,density,batch,Position,individual,ogno,size,mass,type,no,zero
1,32,32.1,bottom,b1,0,32.6,0.14371488,faeces,0,1
2,32,32.2,bottom,b1,0,29,0.1196532,faeces,0,1
3,32,32.2,bottom,b2,0,27.6,0.11029588,faeces,0,1
4,32,32.2,bottom,b3,0,27.8,0.11163264,faeces,0,1
5,32,32.3,bottom,b2,0,29.5,0.1229951,faeces,0,1
6,32,32.3,bottom,b3,0,31.4,0.13569432,faeces,0,1
7,32,32.4,bottom,b2,0,27.5,0.1096275,faeces,0,1
8,32,32.4,bottom,b3,0,32.7,0.14438326,faeces,0,1
9,32,32.5,bottom,b2,0,28.8,0.11831644,faeces,0,1
10,64,64.2,bottom,b2,0,25.3,0.09492314,faeces,0,1
11,64,64.4,bottom,b1,0,24.8,0.09158124,faeces,0,1
12,64,64.4,bottom,b2,0,29.4,0.12232672,faeces,0,1
13,64,64.5,bottom,b1,0,24.9,0.09224962,faeces,0,1
14,64,64.5,bottom,b2,0,27.5,0.1096275,faeces,0,1
15,64,64.5,bottom,b3,0,26.5,0.1029437,faeces,0,1
16,32,32.2,top,t1,0,32.5,0.1430465,faeces,0,1
17,32,32.2,top,t2,0,31.6,0.13703108,faeces,0,1
18,32,32.2,top,t3,0,27.4,0.10895912,faeces,0,1
19,32,32.3,top,t1,0,28,0.1129694,faeces,0,1
20,32,32.3,top,t2,0,33.2,0.14772516,faeces,0,1
21,32,32.3,top,t3,0,29.9,0.12566862,faeces,0,1
22,32,32.4,top,t1,0,32.2,0.14104136,faeces,0,1
23,32,32.4,top,t2,0,23.8,0.08489744,faeces,0,1
24,32,32.4,top,t3,0,27.9,0.11230102,faeces,0,1
25,32,32.5,top,t2,0,26.3,0.10160694,faeces,0,1
26,64,64.1,top,t3,0,31,0.1330208,faeces,0,1
27,64,64.2,top,t1,0,30.4,0.12901052,faeces,0,1
28,64,64.3,top,t2,0,28.4,0.11564292,faeces,0,1
29,64,64.3,top,t3,0,24.3,0.08823934,faeces,0,1
30,64,64.4,top,t1,0,27.5,0.1096275,faeces,0,1
31,64,64.4,top,t2,0,25.7,0.09759666,faeces,0,1
32,64,64.5,top,t1,0,30,0.126337,faeces,0,1
33,1,1.2,,,0,26.3,0.10160694,faeces,0,1
34,1,1.5,,,0,31.4,0.13569432,faeces,0,1
35,32,32.5,top,t3,1,28.4,0.11564292,faeces,8.647308456,0
36,64,64.1,top,t2,1,28.4,0.11564292,faeces,8.647308456,0
37,64,64.1,top,t1,2,30.1,0.12700538,faeces,15.7473644,0
38,32,32.5,bottom,b1,3,28.8,0.11831644,faeces,25.35573247,0
39,32,32.1,bottom,b2,3,26.9,0.10561722,faeces,28.40445905,0
40,32,32.1,top,t1,3,28,0.1129694,faeces,26.5558638,0
41,1,1.3,,,3,29.4,0.12232672,faeces,24.52448656,0
42,32,32.1,bottom,b3,4,29.4,0.12232672,faeces,32.69931541,0
43,32,32.5,top,t1,4,29.4,0.12232672,faeces,32.69931541,0
44,64,64.3,top,t1,4,26,0.0996018,faeces,40.15991679,0
45,64,64.3,bottom,b1,5,27.5,0.1096275,faeces,45.60899409,0
46,64,64.1,bottom,b3,5,25.5,0.0962599,faeces,51.94270927,0
47,64,64.1,bottom,b1,6,32.5,0.1430465,faeces,41.94440269,0
48,32,32.1,top,t2,6,29.5,0.1229951,faeces,48.78243117,0
49,64,64.2,bottom,b1,9,30.2,0.12767376,faeces,70.49216691,0
50,64,64.2,top,t2,9,27.1,0.10695398,faeces,84.14834118,0
51,32,32.5,bottom,b3,13,27.6,0.11029588,faeces,117.8647833,0
52,64,64.5,top,t3,13,24.7,0.09091286,faeces,142.9940715,0
53,64,64.1,bottom,b2,15,25.5,0.0962599,faeces,155.8281278,0
54,32,32.3,bottom,b1,19,28.8,0.11831644,faeces,160.5863057,0
55,64,64.4,bottom,b3,20,23.9,0.08556582,faeces,233.7381913,0
56,64,64.5,top,t2,21,30.9,0.13235242,faeces,158.6672915,0
57,64,64.2,top,t3,22,25.3,0.09492314,faeces,231.7664586,0
58,32,32.1,top,t3,34,31.7,0.13769946,faeces,246.9145485,0
59,64,64.3,bottom,b2,36,28.9,0.11898482,faeces,302.5596038,0
60,64,64.2,bottom,b3,38,26.7,0.10428046,faeces,364.4019215,0
61,32,32.4,bottom,b1,51,27.9,0.11230102,faeces,454.1365697,0
62,64,64.3,bottom,b3,56,23.2,0.08088716,faeces,692.3224897,0
63,64,64.4,top,t3,56,27.5,0.1096275,faeces,510.8207338,0
64,1,1.1,,,56,30.3,0.12834214,faeces,436.3336937,0
65,1,1.4,,,73,29.4,0.12232672,faeces,596.7625062,0
