ID,Location,Sample,Species,Size(mm),ogtissue,tissue,ogshell,shell,situ,condition
L15,Sport,3.1,ZM,9.11,0.006,0.008296682,0.048,0.063185408,QM.f,0.131306923
L26,Sport,3.2,ZM,12.27,0.01,0.005017956,0.102,0.056834368,QM.f,0.088290871
L29,Sport,3.2,ZM,8.55,0.004,0.006864376,0.038,0.060076211,QM.f,0.114261133
L50,Sport,3.3,ZM,9.7,0.004,0.004467275,0.046,0.050518791,QM.f,0.088427996
L56,Sport,3.3,ZM,7.64,0.002,0.00503424,0.027,0.059071548,QM.f,0.085222756
L71,Sport,3.4,ZM,11.73,0.011,0.006433628,0.115,0.072969201,QM.f,0.088169095
M93,Sport,5.2,ZM,8.87,0.002,0.003028668,0.033,0.0469206,QM.f,0.064548798
N155,Sport,2.3.1,ZM,9.28,0.003,0.003895307,0.048,0.059901175,QM.f,0.065028888
M23,Sport,5.1,ZM,10.73,0.008,0.006336979,0.081,0.066473529,ZM.f,0.095330863
M84,Sport,5.2,ZM,9.84,0.006,0.006381895,0.061,0.06427737,ZM.f,0.099286811
H135,Sport,4.2.2,ZM,8.07,0.002,0.004178171,0.03,0.05603798,QM.f,0.074559629
H141,Sport,4.2.2,ZM,7.08,0.002,0.006523347,0.016,0.043609296,QM.f,0.149586166
H167,Sport,4.2.1,ZM,14.44,0.01,0.002882617,0.168,0.058498389,QM.f,0.049276867
K24,Sport,1.2,ZM,7.38,0.002,0.005663956,0.021,0.050774504,f.QM,0.111551181
K25,Sport,1.2,ZM,9.6,0.003,0.003470753,0.042,0.047526666,f.QM,0.073027486
K33,Sport,1.2,ZM,9.71,0.006,0.006677451,0.045,0.049273761,f.QM,0.135517383
K34,Sport,1.2,ZM,6.91,0.001,0.003542994,0.02,0.05847389,f.QM,0.060591048
K48,Sport,1.2,ZM,9.85,0.004,0.004239911,0.048,0.050430811,f.QM,0.08407383
K73,Sport,1.4,ZM,8.49,0.003,0.005273187,0.036,0.058083277,f.QM,0.090786671
K82,Sport,1.4,ZM,7.82,0.002,0.004650589,0.029,0.059321922,f.QM,0.078395786
K88,Sport,1.4,ZM,14.21,0.016,0.004871284,0.139,0.050696831,f.QM,0.096086562
K95,Sport,1.4,ZM,12.17,0.007,0.003611791,0.079,0.045071115,f.QM,0.080135386
K98,Sport,1.4,ZM,7.2,0.002,0.006160613,0.025,0.064912181,f.QM,0.09490688
L17,Sport,3.1,ZM,7.49,0.003,0.008078651,0.025,0.057918341,f.QM,0.139483475
L25,Sport,3.2,ZM,10.17,0.005,0.004753387,0.052,0.04981646,f.QM,0.095418007
L35,Sport,3.3,ZM,9.74,0.006,0.0066077,0.046,0.049922145,f.QM,0.132360089
L66,Sport,3.4,ZM,13.6,0.017,0.00600947,0.171,0.070790405,f.QM,0.084891031
M37,Sport,5.1,ZM,9.34,0.007,0.008891827,0.059,0.072271271,f.QM,0.123034046
N44,Sport,2.1.1,ZM,11.63,0.007,0.004215202,0.084,0.05463309,f.QM,0.077154747
N73,Sport,2.1.1,ZM,12.77,0.009,0.003942053,0.105,0.052134029,f.QM,0.075613811
N74,Sport,2.1.1,ZM,13.16,0.011,0.0043491,0.122,0.05553582,f.QM,0.078311613
N163,Sport,2.3.2,ZM,12.23,0.009,0.004566638,0.087,0.048935517,f.QM,0.093319497
N168,Sport,2.3.2,ZM,9.41,0.004,0.004953528,0.034,0.040759682,f.QM,0.121530099
N169,Sport,2.3.2,ZM,11.55,0.007,0.004315416,0.078,0.051751808,f.QM,0.083386772
N191,Sport,2.3.3,ZM,6.55,0,0,0.014,0.04776882,f.QM,0
N192,Sport,2.3.3,ZM,6.74,0.001,0.003856519,0.018,0.056550506,f.QM,0.068196006
N197,Sport,2.3.3,ZM,9.05,0.003,0.004242709,0.04,0.053668648,f.QM,0.079053765
M75,Sport,5.2,ZM,9.06,0.005,0.007044649,0.049,0.065534816,f.ZM,0.107494751
M86,Sport,5.2,ZM,12.8,0.011,0.004779733,0.094,0.046357263,f.ZM,0.103106463
H64,Sport,4.1.1,ZM,7.48,0.001,0.002705158,0.02,0.046513733,f.QM,0.058158271
H68,Sport,4.1.2,ZM,13.4,0.011,0.004089608,0.125,0.054008681,f.QM,0.075721307
H132,Sport,4.2.2,ZM,9.64,0.002,0.002281316,0.045,0.050313813,f.QM,0.045341749
H134,Sport,4.2.2,ZM,6.53,0.001,0.004295258,0.017,0.058519375,f.QM,0.073398904
H180,Sport,4.2.1,ZM,14.32,0.014,0.004151946,0.148,0.052790933,f.QM,0.078648853
H185,Sport,4.2.1,ZM,14.48,0.011,0.003141161,0.142,0.049051763,f.QM,0.064037682
H186,Sport,4.2.1,ZM,13.77,0.01,0.003388618,0.121,0.048326818,f.QM,0.070118787
